
minsithumaung@connect-172-31-3-24 csce_412_project_3 % make
mkdir -p obj
mkdir -p bin
g++ -Wall -Wextra -Iinclude -std=c++11 -c src/LoadBalancer.cpp -o obj/LoadBalancer.o
g++ -Wall -Wextra -Iinclude -std=c++11 -c src/Request.cpp -o obj/Request.o
g++ -Wall -Wextra -Iinclude -std=c++11 -c src/WebServer.cpp -o obj/WebServer.o
g++ -Wall -Wextra -Iinclude -std=c++11 -c src/main.cpp -o obj/main.o
g++  obj/LoadBalancer.o  obj/Request.o  obj/WebServer.o  obj/main.o -o bin/load_balancer
./bin/load_balancer
Enter the number of servers: 10
Enter the duration (clock cycles) to run the load balancer: 10000
Added request with IP in: 47.64.214.29, IP out: 116.130.41.164, processing time: 7
Added request with IP in: 27.48.157.39, IP out: 220.58.113.122, processing time: 49
Added request with IP in: 3.230.162.109, IP out: 196.32.253.116, processing time: 73
Added request with IP in: 115.19.126.115, IP out: 189.247.43.174, processing time: 58
Added request with IP in: 193.131.178.33, IP out: 128.150.166.237, processing time: 30
Added request with IP in: 140.138.29.212, IP out: 44.219.236.99, processing time: 72
Added request with IP in: 214.14.56.46, IP out: 147.75.127.189, processing time: 44
Added request with IP in: 19.53.29.210, IP out: 239.37.160.35, processing time: 78
Added request with IP in: 149.95.184.222, IP out: 30.101.163.200, processing time: 23
Added request with IP in: 123.162.220.158, IP out: 140.168.78.86, processing time: 9
Added request with IP in: 174.12.205.71, IP out: 198.253.69.136, processing time: 40
Added request with IP in: 57.24.2.138, IP out: 224.122.190.81, processing time: 65
Added request with IP in: 21.165.119.238, IP out: 159.62.5.27, processing time: 92
Added request with IP in: 245.124.185.180, IP out: 80.127.146.107, processing time: 42
Added request with IP in: 173.193.17.192, IP out: 52.213.143.130, processing time: 87
Added request with IP in: 128.21.220.230, IP out: 44.95.15.6, processing time: 3
Added request with IP in: 201.9.199.100, IP out: 219.206.166.204, processing time: 27
Added request with IP in: 188.124.62.25, IP out: 124.1.31.245, processing time: 29
Added request with IP in: 108.67.152.253, IP out: 44.176.61.27, processing time: 40
Added request with IP in: 210.132.66.179, IP out: 11.67.106.45, processing time: 12
Added request with IP in: 35.10.189.219, IP out: 33.108.151.78, processing time: 3
Added request with IP in: 162.122.155.74, IP out: 212.238.233.115, processing time: 69
Added request with IP in: 110.147.129.131, IP out: 91.72.49.25, processing time: 9
Added request with IP in: 142.221.246.237, IP out: 122.29.12.145, processing time: 57
Added request with IP in: 17.59.111.63, IP out: 227.44.238.225, processing time: 60
Added request with IP in: 97.81.121.58, IP out: 162.142.93.182, processing time: 33
Added request with IP in: 220.170.147.222, IP out: 111.90.4.75, processing time: 99
Added request with IP in: 228.147.76.24, IP out: 48.31.101.179, processing time: 78
Added request with IP in: 169.200.40.20, IP out: 74.134.218.11, processing time: 16
Added request with IP in: 164.118.205.246, IP out: 146.20.216.203, processing time: 35
Added request with IP in: 58.27.187.97, IP out: 202.255.8.137, processing time: 97
Added request with IP in: 240.25.166.80, IP out: 75.46.34.105, processing time: 26
Added request with IP in: 96.236.9.104, IP out: 191.3.132.13, processing time: 12
Added request with IP in: 213.215.27.233, IP out: 93.201.97.74, processing time: 67
Added request with IP in: 191.47.157.153, IP out: 154.144.9.229, processing time: 10
Added request with IP in: 12.71.150.198, IP out: 149.215.215.188, processing time: 33
Added request with IP in: 30.41.112.30, IP out: 113.84.123.3, processing time: 79
Added request with IP in: 207.215.43.60, IP out: 121.118.33.236, processing time: 49
Added request with IP in: 109.87.212.135, IP out: 75.2.144.156, processing time: 79
Added request with IP in: 137.212.97.84, IP out: 210.204.127.158, processing time: 21
Added request with IP in: 46.91.202.30, IP out: 31.37.231.111, processing time: 67
Added request with IP in: 94.164.0.250, IP out: 203.5.89.4, processing time: 72
Added request with IP in: 140.185.113.186, IP out: 80.24.178.2, processing time: 93
Added request with IP in: 223.29.87.168, IP out: 198.214.102.186, processing time: 36
Added request with IP in: 78.215.227.25, IP out: 223.133.216.94, processing time: 85
Added request with IP in: 43.147.154.168, IP out: 72.155.238.124, processing time: 45
Added request with IP in: 160.47.237.230, IP out: 28.227.80.22, processing time: 28
Added request with IP in: 196.83.166.196, IP out: 113.115.74.211, processing time: 91
Added request with IP in: 124.171.91.121, IP out: 52.142.184.226, processing time: 94
Added request with IP in: 219.105.133.213, IP out: 59.131.86.57, processing time: 57
Added request with IP in: 197.7.113.26, IP out: 208.134.166.172, processing time: 1
Added request with IP in: 60.229.207.25, IP out: 221.88.155.221, processing time: 53
Added request with IP in: 89.227.128.59, IP out: 4.215.99.251, processing time: 8
Added request with IP in: 168.4.242.5, IP out: 70.171.241.38, processing time: 44
Added request with IP in: 127.172.24.179, IP out: 230.207.68.36, processing time: 68
Added request with IP in: 67.59.199.17, IP out: 127.214.213.9, processing time: 90
Added request with IP in: 12.27.168.42, IP out: 232.36.59.1, processing time: 24
Added request with IP in: 154.185.63.253, IP out: 212.248.30.77, processing time: 96
Added request with IP in: 188.28.48.98, IP out: 189.77.206.16, processing time: 30
Added request with IP in: 164.11.180.0, IP out: 153.46.72.59, processing time: 3
Added request with IP in: 241.172.73.84, IP out: 103.251.157.205, processing time: 22
Added request with IP in: 232.131.10.164, IP out: 49.154.103.84, processing time: 66
Added request with IP in: 143.173.87.1, IP out: 38.63.119.39, processing time: 49
Added request with IP in: 60.41.226.116, IP out: 132.89.196.142, processing time: 24
Added request with IP in: 151.9.116.4, IP out: 100.177.202.57, processing time: 1
Added request with IP in: 192.107.172.219, IP out: 102.95.72.19, processing time: 53
Added request with IP in: 167.97.37.103, IP out: 101.242.100.98, processing time: 77
Added request with IP in: 94.106.4.115, IP out: 50.253.5.236, processing time: 8
Added request with IP in: 27.105.120.129, IP out: 40.207.32.92, processing time: 28
Added request with IP in: 113.166.248.40, IP out: 118.149.122.195, processing time: 33
Added request with IP in: 88.100.202.139, IP out: 179.223.68.251, processing time: 98
Added request with IP in: 189.209.35.245, IP out: 180.172.230.15, processing time: 81
Added request with IP in: 13.189.65.102, IP out: 18.128.197.248, processing time: 35
Added request with IP in: 36.25.247.130, IP out: 100.174.102.112, processing time: 13
Added request with IP in: 217.47.47.215, IP out: 21.90.78.215, processing time: 65
Added request with IP in: 253.103.29.59, IP out: 108.53.182.92, processing time: 14
Added request with IP in: 82.101.165.65, IP out: 0.255.132.17, processing time: 63
Added request with IP in: 251.88.17.24, IP out: 126.166.244.179, processing time: 36
Added request with IP in: 63.128.76.88, IP out: 208.84.119.98, processing time: 25
Added request with IP in: 136.31.150.55, IP out: 132.63.123.83, processing time: 69
Added request with IP in: 7.222.132.70, IP out: 106.240.175.23, processing time: 15
Added request with IP in: 60.184.76.18, IP out: 247.83.60.61, processing time: 94
Added request with IP in: 70.231.65.141, IP out: 54.10.66.210, processing time: 29
Added request with IP in: 235.72.109.144, IP out: 108.11.58.248, processing time: 1
Added request with IP in: 16.97.235.174, IP out: 247.138.21.3, processing time: 17
Added request with IP in: 51.249.60.172, IP out: 214.109.108.230, processing time: 95
